ID,Price,Sqft_m2,RatioEurM,Rooms,Toilets,Area,Elevator,Parking,Heating,CoolAir,Construction,Balcony,Pool,PublicTr,Yard
i10507003984175,324000,114,2842,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i10507003984157,298000,107,2785,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i10507003984167,279000,95,2937,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i10507003984158,262000,89,2944,2,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i10507003984171,236000,74,3189,2,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i10507003984154,230000,69,3333,2,1,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i14972002900618,404100,132,3061,3,3,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i14972002900622,388451,130,2988,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i14972002900628,380000,134,2836,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i14972003088498,391300,102,3836,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i14972002900628,380000,134,2836,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i30028000055473,93200,61,1528,3,1,Besòs - Maresme,No,No,No,No,Not New,No,No,No,No
i33027000000023,149000,55,2709,2,1,Horta,No,No,No,No,Not New,No,No,No,No
i586003987315,159000,53,3000,2,1,Taxonera,Yes,No,Yes,No,Not New,Yes,No,Yes,No
i24335000000212,100000,58,1724,2,1,Trinitat Vella,No,No,No,No,Not New,No,No,No,No
i24335000000205,100000,74,1351,3,1,Trinitat Vella,No,No,Yes,No,Not New,No,No,No,No
i3566003987307,119000,50,2380,3,1,Carmel,No,No,No,Yes,Not New,No,No,Yes,No
i30028000053985,88000,48,1833,3,1,La Florida,No,No,No,No,Not New,No,No,No,No
i10507003984157,298000,107,2785,3,2,Santa Eulàlia,Yes,No,Yes,No,New,Yes,No,Yes,Yes
i33143000000006,79000,45,1756,2,1,Les Planes,No,No,Yes,No,Not New,No,No,No,No
i1921003937537,119000,48,2479,2,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i19063003907369,119000,60,1983,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i545003437359,119000,62,1919,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i9260000035921,129000,55,2345,2,1,Les Planes,No,No,No,Yes,Not New,Yes,No,No,No
i225003600298,150000,64,2344,3,1,Les Planes,Yes,No,Yes,No,Not New,Yes,No,Yes,No
i20352003622975,155000,72,2153,3,1,Les Planes,Yes,No,Yes,No,Not New,Yes,No,Yes,No
i9260000036349,146500,60,2442,3,1,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i5679003842838,132000,69,1913,3,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i9260000035851,120000,66,1818,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i11837003820308,105000,58,1810,3,1,Les Planes,No,No,No,Yes,Not New,Yes,No,Yes,No
i225003746483,120000,62,1935,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i6377003233354,109900,52,2113,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i1921003932564,109000,51,2137,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i23591003973769,109000,55,1982,3,1,Les Planes,No,No,Yes,No,Not New,Yes,No,Yes,No
i11837003852451,109000,51,2137,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i4423002820834,120000,56,2143,3,1,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i6069003826385,107000,45,2378,3,1,Les Planes,No,No,No,No,Not New,Yes,No,Yes,No
i9260000035853,107000,59,1814,3,2,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i26956003839570,99000,52,1904,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i28396000026325,103200,55,1876,2,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i30428000000050,93500,54,1731,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i1532003724267,93500,54,1731,3,1,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i2630003717529,103700,46,2254,2,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i6355003639635,151000,61,2475,2,1,Les Planes,Yes,No,No,No,Not New,No,No,Yes,No
i3117003828252,170000,65,2615,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i3117003765461,129000,56,2304,3,1,Les Planes,Yes,No,No,Yes,Not New,Yes,No,Yes,No
i22051003916697,170000,76,2237,3,1,Les Planes,No,No,No,Yes,Not New,Yes,No,Yes,No
i5440003938440,99000,100,990,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i15237003936608,95000,50,1900,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i13895003982403,95000,50,1900,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i19063003894943,204000,70,2914,2,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i27402003967542,89800,40,2245,2,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i3677003295495,169000,70,2414,3,1,Les Planes,Yes,No,Yes,No,Not New,No,No,No,No
i2694000000043,169000,78,2167,3,1,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i30260000001111,175000,70,2500,3,2,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i28396000073411,175000,70,2500,3,2,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i586003789518,175000,70,2500,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i30030000018502,175000,70,2500,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i13506003925675,169000,90,1878,4,1,Les Planes,Yes,No,Yes,No,Not New,No,No,Yes,No
i19100003966150,99800,45,2218,2,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i2694000000025,78000,43,1814,2,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i27402003967542,89800,40,2245,2,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i23591003979534,94000,55,1709,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i13895003982403,95000,50,1900,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i19220003979302,97000,55,1764,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i586003702323,105000,35,3000,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i3930003700387,105000,38,2763,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i5151003965131,98000,45,2178,2,1,Les Planes,Yes,No,No,No,Not New,Yes,No,Yes,No
i29462000000052,98000,50,1960,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,No,No
i4454003980265,105000,50,2100,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i23591003973769,109000,55,1982,3,1,Les Planes,No,No,Yes,No,Not New,Yes,No,Yes,No
i2540003977881,110000,57,1930,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i2726003970656,113000,50,2260,3,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i4423002821108,115000,56,2054,3,1,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i30028000034834,103700,46,2254,2,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i586003702323,105000,35,3000,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i6069003826385,107000,45,2378,3,1,Les Planes,No,No,No,No,Not New,Yes,No,Yes,No
i1921003932564,109000,51,2137,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i4454003968956,105000,50,2100,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i15237003936608,95000,50,1900,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i30028000034834,103700,46,2254,2,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i586003702323,105000,35,3000,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i6069003826385,107000,45,2378,3,1,Les Planes,No,No,No,No,Not New,Yes,No,Yes,No
i1921003932564,109000,51,2137,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i2630003719503,98200,42,2338,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i30030000019292,103200,55,1876,2,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i9260000036792,101500,51,1990,2,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i2630003726050,104000,67,1552,3,1,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i5849003945396,85000,55,1545,2,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i30428000000050,93500,54,1731,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i30028000040340,104000,67,1552,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i6167003770648,92900,58,1602,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i14177003609401,119680,50,2394,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i29462000000054,119000,66,1803,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i2129003063464,105500,59,1788,3,1,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i3610003939175,129680,54,2401,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i3117003974646,139750,66,2117,3,1,Les Planes,Yes,No,No,No,Not New,No,No,Yes,No
i6069003823466,143500,63,2278,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,Yes
i2540003967594,125000,70,1786,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i2129003063464,105500,59,1788,3,1,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i3610003939175,129680,54,2401,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i29182000000030,132500,63,2103,3,1,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i6069003823466,143500,63,2278,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,Yes
i1075002121505,145000,75,1933,3,1,Les Planes,No,No,No,Yes,Not New,Yes,No,Yes,No
i15516003976283,149000,55,2709,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i2540003967594,125000,70,1786,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i1075002121505,145000,75,1933,3,1,Les Planes,No,No,No,Yes,Not New,Yes,No,Yes,No
i15516003976283,149000,55,2709,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i29182000000030,132500,63,2103,3,1,Les Planes,No,No,No,Yes,Not New,No,No,No,No
i2540003967594,125000,70,1786,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i29462000000054,119000,66,1803,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i4423002821108,115000,56,2054,3,1,Les Planes,Yes,No,No,No,Not New,No,No,No,No
i2726003970656,113000,50,2260,3,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i1921003937537,119000,48,2479,2,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i2540003977881,110000,57,1930,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i30028000040340,104000,67,1552,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i23591003973769,109000,55,1982,3,1,Les Planes,No,No,Yes,No,Not New,Yes,No,Yes,No
i29462000000052,98000,50,1960,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,No,No
i5151003965131,98000,45,2178,2,1,Les Planes,Yes,No,No,No,Not New,Yes,No,Yes,No
i19220003979302,97000,55,1764,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i15237003936608,95000,50,1900,2,1,Les Planes,Yes,No,No,Yes,Not New,No,No,Yes,No
i23591003979534,94000,55,1709,3,1,Les Planes,No,No,Yes,No,Not New,No,No,Yes,No
i30428000000050,93500,54,1731,3,1,Les Planes,No,No,No,No,Not New,No,No,No,No
i19999000003059,92000,46,2000,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,No,No
i33143000000006,79000,45,1756,2,1,Les Planes,No,No,Yes,No,Not New,No,No,No,No
i30028000053985,88000,48,1833,3,1,La Florida,No,No,No,No,Not New,No,No,No,No
i19999000003059,92000,46,2000,3,1,Les Planes,Yes,No,No,Yes,Not New,No,No,No,No
i30028000049689,87200,53,1645,3,1,Santa Eulàlia,No,No,No,No,Not New,No,No,No,No
i2630003745855,87200,53,1645,3,1,Santa Eulàlia,No,No,No,No,Not New,No,No,No,No
i30028000003360,96000,46,2087,2,1,Santa Eulàlia,No,No,No,No,Not New,No,No,No,No
i2630000250433,96000,46,2087,2,1,Santa Eulàlia,No,No,No,No,Not New,No,No,No,No
i86003856910,99000,45,2200,1,1,Santa Eulàlia,No,No,No,No,Not New,No,No,Yes,No
i27402003967542,89800,40,2245,2,1,Les Planes,No,No,No,No,Not New,No,No,Yes,No
i4454003980265,105000,50,2100,3,1,Les Planes,No,No,No,Yes,Not New,No,No,Yes,No
i9260000035898,173000,69,2507,2,1,Can Serra,No,No,No,Yes,Not New,No,No,No,No
i545003895239,160000,68,2353,2,1,Can Serra,No,No,Yes,No,Not New,Yes,No,Yes,No
i3665003968254,149000,55,2709,3,1,Can Serra,Yes,No,No,Yes,Not New,No,No,Yes,No
i6286003674167,147000,62,2371,3,1,Can Serra,No,No,No,No,Not New,Yes,No,Yes,No
i19063003982024,140000,58,2414,2,1,Can Serra,No,No,No,Yes,Not New,No,No,Yes,No
i28744003783700,140000,60,2333,3,1,Can Serra,Yes,No,Yes,No,Not New,No,No,Yes,No
i12224003964184,334688,116,2885,3,1,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i12224003964205,299444,99,3025,3,1,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i12224003964428,228230,79,2889,3,2,Can Serra,Yes,No,Yes,No,New,No,No,Yes,No
i12224003964379,228230,79,2889,3,2,Can Serra,Yes,No,Yes,No,New,No,No,Yes,No
i12224003964442,202841,72,2817,2,2,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i12224003964390,202841,72,2817,2,2,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i12224003964298,277103,98,2828,2,1,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i12224003964205,299444,99,3025,3,1,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i27402003983585,129000,50,2580,3,1,Can Serra,No,No,Yes,No,Not New,Yes,No,Yes,No
i2726003981322,129000,50,2580,3,1,Can Serra,No,No,Yes,No,Not New,No,No,No,No
i12224003964442,202841,72,2817,2,2,Can Serra,Yes,No,Yes,No,New,Yes,No,Yes,No
i541003943236,185000,76,2434,2,1,Can Serra,Yes,No,Yes,No,Not New,No,No,Yes,No
i538003982456,280000,125,2240,3,1,Can Serra,No,No,No,No,Not New,Yes,No,Yes,No
i4894003843784,156000,55,2836,3,1,Can Serra,Yes,No,No,Yes,Not New,No,No,Yes,No
i8478003972523,149800,60,2497,3,1,Can Serra,Yes,No,No,Yes,Not New,No,No,Yes,No
i6069003826828,126000,59,2136,3,1,Can Serra,No,No,No,No,Not New,Yes,No,Yes,No
i9260000035852,126000,54,2333,3,1,Can Serra,No,No,No,Yes,Not New,Yes,No,Yes,No
i9260000035944,130500,52,2510,3,1,Can Serra,No,No,No,Yes,Not New,No,No,No,No
i2726003909369,135000,65,2077,3,1,Can Serra,Yes,No,No,No,Not New,No,No,No,No
i9260000035919,164000,68,2412,3,1,Can Serra,No,No,No,Yes,Not New,No,No,No,No
i1532003724307,159000,61,2607,3,2,Can Serra,No,No,Yes,Yes,Not New,No,No,Yes,No
